"restaurant_name","cnt","avg_rating","avg_price","avg_delivery_time"
"Fujin Chinese By Qimbu",1,4.5,250.0,23.0
"Ganga Juice",1,4.5,100.0,11.0
"Gatox Naturals",1,4.5,400.0,14.0
"Globe",1,4.5,200.0,25.0
"Go Pure Natural Ice-creams",1,4.5,350.0,18.0
"Gokul Ice Creams",1,4.5,100.0,41.0
"Golden Ice Cream",1,4.5,150.0,33.0
"Gopala",2,4.5,200.0,26.5
"GoParatha",1,4.5,150.0,21.0
"Govindam Sweets",1,4.5,200.0,40.0
"Goyal Cakes & Bakes",1,4.5,400.0,32.0
"Grande Hot Bakery",1,4.5,100.0,38.0
"Gulati Juice Corner",1,4.5,150.0,23.0
"Gulzar Sweets",1,4.5,200.0,16.0
"Gupta Farsan Mart",1,4.5,150.0,24.0
"Guru Amardass Bakery",1,4.5,150.0,17.0
"Hameedi Confectioner",1,4.5,100.0,24.0
"Hanu Udyog",1,4.5,100.0,52.0
"Happy Food Corner",1,4.5,200.0,31.0
"Hardik Fast Food",1,4.5,150.0,22.0
"Hardik Refreshment",1,4.5,200.0,26.0
"Hari Om Fastfood",1,4.5,100.0,30.0
"Healthify",1,4.5,150.0,28.0
"Healthy Swig",1,4.5,150.0,35.0
"Heeralal Sweet House",1,4.5,100.0,32.0
"Heydos",1,4.5,100.0,36.0
"High On Diet",1,4.5,150.0,30.0
"Hills Special Momo's",1,4.5,200.0,34.0
"Himalayan Flavour",1,4.5,100.0,35.0
"Hindavi Swarajya Special Tupatil Sabudane Wade",1,4.5,150.0,17.0
"Hop On Food",1,4.5,350.0,32.0
"Hotel Annapurna De Royal",1,4.5,200.0,20.0
"Hotel Arulakam",1,4.5,150.0,30.0
"Hotel Aruna",1,4.5,150.0,27.0
"Hotel Ashoka - Abhinandan",1,4.5,100.0,28.0
"Hotel Chola International",1,4.5,300.0,36.0
"Hotel Hari Prassath",1,4.5,150.0,27.0
"Hotel Indralok",1,4.5,100.0,28.0
"Hotel Krishna",1,4.5,150.0,32.0
"Hotel M M Masura",1,4.5,200.0,14.0
"Hotel Parakh",1,4.5,150.0,18.0
"Hotel Regency",1,4.5,200.0,65.0
"Hotel Sabzi",1,4.5,100.0,16.0
"Hotel Srie Rajeswari",1,4.5,100.0,25.0
"Hotel Swadisht",1,4.5,100.0,27.0
"Hotel Woodside",1,4.5,100.0,30.0
"Raj Noodles",1,4.5,100.0,24.0
"Rajasthan Fruit Juice & Shakes",1,4.5,150.0,18.0
"Rajendra Sweet Home",1,4.5,150.0,19.0
"Rajendra Sweets Online",1,4.5,150.0,30.0
"Rajmandir Cold Drinks Palace Road",1,4.5,100.0,20.0
"Rajmandir Milk And Milk Products",1,4.5,150.0,16.0
"Ramdas Raghuveer Paratha",1,4.5,100.0,35.0
"Regalia",1,4.5,350.0,39.0
"Roadways",1,4.5,250.0,38.0
"Roastown",1,4.5,150.0,35.0
"Roberts Blue Kitchen",1,4.5,200.0,22.0
"Rohitash Chhole Kulche",1,4.5,150.0,27.0
"Rongmei Naga Cuisine",1,4.5,150.0,52.0
"RR Pure Veg",1,4.5,300.0,30.0
"S D Cake Shop",1,4.5,250.0,33.0
"Saha Sweets",1,4.5,200.0,30.0
"Sahibs Brick Oven Pizza",1,4.5,250.0,35.0
"Sai Paratha House",1,4.5,100.0,32.0
"Salads & Co.",1,4.5,150.0,36.0
"Samosa Party",1,4.5,100.0,31.0
"Samrat Pav Bhaji",1,4.5,150.0,20.0
"Sandesh Bengali Sweets",1,4.5,150.0,14.0
"Sandwich - A Tender Affair",1,4.5,250.0,27.0
"Sandy's Tiny & Tasty",1,4.5,150.0,28.0
"Santushti",1,4.5,100.0,14.0
"Sarvoday Ice Cream",1,4.5,100.0,21.0
"Satnam Kulfi",1,4.5,200.0,30.0
"Sayantara",1,4.5,100.0,18.0
"Scoop",1,4.5,50.0,40.0
"Scoop & Cones - Artisan Gelato",1,4.5,200.0,20.0
"Scoops Ice Cream",1,4.5,200.0,18.0
"Seasons 4 Ice Creams",1,4.5,100.0,16.0
"Sewak Dairy And Sweets",1,4.5,250.0,38.0
"SGS Non Veg - Gundu Pulav",1,4.5,100.0,39.0
"Shahenshah Fast Food",1,4.5,200.0,28.0
"Shahi Litti Chokha",1,4.5,100.0,49.0
"Shahi Samosa",1,4.5,200.0,31.0
"Shakersss",1,4.5,50.0,45.0
"Shambavi Snacks",1,4.5,250.0,23.0
"Shanbhag Restaurant",1,4.5,100.0,19.0
"Shawarma King & Nonveg . Zone",1,4.5,100.0,21.0
"Shree Cakes",1,4.5,100.0,41.0
"Shree Jay Jalaram Dairy Farm",1,4.5,100.0,14.0
"Shree Parshwanath Ice Cream & Cold Drinks",1,4.5,200.0,18.0
"Shree Sai Gupchup",1,4.5,200.0,40.0
"Shree Satya Vijay Patel Ice Cream",1,4.5,50.0,17.0
"Shree Shyam Pyaaz Kachhori",1,4.5,150.0,17.0
"Shreeji Dairy",1,4.5,200.0,44.0
"Shreeji Jumbo Vadapav",1,4.5,150.0,24.0
"Shreeji Sandwich",1,4.5,50.0,26.0
"House of Taste",2,4.5,150.0,43.5
"Ice Cream Station",1,4.5,400.0,27.0
"Ideal Cream Parlour",1,4.5,100.0,25.0
