"restaurant_name","cnt","rating"
"99 Pizza",2,3.7
"99 Pizza",2,3.9
"99 Pizza And More",1,3.8
"99 Rotiwala",3,3.6
"99 Rotiwala",3,3.6
"99 Rotiwala",3,4.0
"99 Rotiwala LIG",1,3.9
"99 Sabjiwala",1,3.4
"99 Sweet Jars",1,4.1
"99 Tasty Food Hub",1,3.3
"99 Thali",1,3.1
"99 Trisha Foods",1,3.8
"99 Varieties Dosa & Pav Bhaji",1,3.7
"99 Waffles",1,3.5
"99 Wala By Qimbu",1,4.3
"9th Street",1,4.1
"9th Street Hideaway Restro And Cafe",1,4.2
"A - One Momo!",1,4.4
"A & C Burger Shoppee",1,4.1
"A 1 bharit center",1,4.1
"A 2 Pizza",1,3.8
"A Balaji Santosh Dhaba",1,4.1
"A Cafe",1,3.1
"A Ccream Corner",1,4.0
"A Dessert King",1,3.7
"A Gourmesserie",1,4.4
"A Kit Kat Bakery",1,4.1
"A Lua Restaurant & Bar",1,4.0
"A Marron Burger",1,3.5
"A Metro Cuisine",1,3.8
"A One Bakery",3,2.6
"A One Bakery",3,3.6
"A One Bakery",3,4.2
"A One Bombay Biryani",1,4.1
"A One Coco",2,3.7
"A One Coco",2,4.6
"A One Cold Coco & Juice Center",1,4.0
"A One Cold Coco And Juice Corner",1,4.0
"A One Fast Food",1,3.0
"A One Fry Center",1,3.5
"A One Hotel & Fast Food",1,3.4
"A One Hotel & Restaurant",1,3.7
"A One Muradabadi Chicken Biryani Corner",1,3.8
"A One Parsi Food",1,4.0
"A Piece Of Cake",1,3.8
"A Pinch Of Salt",1,3.6
"A Pizzariya",1,3.2
"A S Food Corner",1,3.1
"A Silverr Oak",1,4.0
"A Star Kitchen",1,4.3
"A Taste Of Home",1,4.5
"A TO Z Burger Biryani And Paratha",1,3.5
"A To Z Fast Food",1,3.6
"A To Z Food Corner",1,3.5
"A To Z Palamudir Nilayam",1,4.1
"A TO Z Pizza",1,3.8
"A To Z Restaurant",1,3.3
"A To Z Rolls",1,3.3
"A Vinis Bakery",1,3.6
"A. J. Cool Bar",1,3.6
"A.M Biriyani",1,4.1
"A.P.S Chat",1,3.8
"A.R Modern Rythu Chicken Bazar",1,4.1
"A.R. Biryani Point",1,4.4
"A.R.C Sasi's Chat & More",1,3.6
"A.S.I.N Kitchen",1,4.3
"A1 Ambur Briyani & Kababs",1,3.8
"A-1 Amlet",1,4.3
"A1 Biryani",1,3.7
"A1 Bombay Vada Pav",1,3.6
"A1 Chicken Pakoda Point",1,4.3
"A1 Chilli 65 Fast Food Center",1,4.2
"A1 Chips",1,4.2
"A1 Desserts",1,3.5
"A1 Family Restaurant",1,4.0
"A1 Fast Food",1,3.7
"A-1 Foods",1,4.0
"A1 Foods Cake Factory",1,4.3
"A1 Haji Biryani",1,3.8
"A1 Haji Fast Food Centre",1,3.9
"A1 Hotels",1,3.8
"A1 Misal House",1,3.9
"A1 Momos",1,3.9
"A1 Momo's",1,4.0
"A1 Pakoda House",1,4.1
"A1 Parotha",1,4.4
"A1 Parotta Stall",1,4.0
"A1 Pulkha Point And Chinese",1,2.9
"A1 Quality Falooda",1,3.6
"A1 Samosa",1,4.4
"A-1 Super Dabeli And Panipuri Centre",1,4.1
"A2 Fast Food",1,3.9
"A2B - Adyar Ananda Bhavan",8,4.0
"A2B - Adyar Ananda Bhavan",8,4.1
"A2B - Adyar Ananda Bhavan",8,4.2
"A2B - Adyar Ananda Bhavan",8,4.2
"A2B - Adyar Ananda Bhavan",8,4.2
"A2B - Adyar Ananda Bhavan",8,4.3
"A2B - Adyar Ananda Bhavan",8,4.3
"A2B - Adyar Ananda Bhavan",8,4.3
"A2B Aniram's Aahar Bhavan",1,4.0
"A3 Eggless Fresh Cakes",1,4.3
"A9 Baker's & Cafe",1,4.0
"A9 Kitchen's",1,3.5
"Aab O Dana Red Chillies",1,3.9
"Aachi Chettinadu Hotel",1,3.9
"Aachman",1,4.2
"Aacho Bhau",1,3.1
"Aadab Biryani",1,4.0
"Aadat Chai Cafe",1,4.1
"Aadi Bangali",1,4.2
"Aadis Eat & Greet",1,4.0
"Aadi's Kitchen",1,3.6
"Aagaaram",1,3.6
"Aagaaram Cafe",1,4.1
"Aah Haa Pizza",1,2.9
"Aaha Family Restaurant",1,2.9
"Aahaar Fast Food Court & Restaurant",1,3.8
"Àahaar Multi Cuisine Restaurant",1,3.0
"Aahar",3,3.9
"Aahar",3,4.1
"Aahar",3,4.2
"Aahar Bhojnalaya",1,3.4
"Aahar Punjabi Dhaba",1,3.5
"Aahar Restaurant",2,4.1
"Aahar Restaurant",2,4.2
"Aahar Restaurant (Unit of Lokenath Caterer)",1,4.0
"Aahar Snacks Parlour",1,3.6
"Aahar The Rail Coach Restaurant",1,3.8
"Aahar Veg Family Restaurant",1,3.8
"Aahar Vihar",1,4.2
"Aahare Kolkata",1,4.2
"Aaheli - The Peerless Inn",1,4.0
"Aaheli Express- The Peerless Inn",1,4.1
"Aaheli Fresh Foods",1,4.0
"Aai Chinese",1,3.8
"Aai Chya Hatache",1,3.9
"Aaicha Swayampak Maharashtrian Restaurant",1,4.0
"Aaichi Athvan Parcel Point",1,3.6
"Aaichi Shidori 24*7",1,4.1
"Aaiye Jnaab Khaiye",1,3.8
"Aakash Hotel",1,3.6
"Aakash Sweets Namkeen & Fastfood",1,4.0
"Aala Biryani",1,3.8
"Aali Re Thali",1,4.2
"Aalishan Pan and Parlour",1,4.1
"Aalishan Restaurant",1,3.9
"Aama Ko Kitchen",1,3.6
"Aamantran Fast Food",1,4.2
"Aamantran Pure Veg",1,4.2
"Aamantran Restaurant",1,4.2
"Aamar Bangla Restaurant",1,3.8
"Aamchi Mumbai",1,4.3
"Aamhi Marathi",1,3.8
"Aamhi Pohekar",1,4.6
"Aami Bangali",2,3.6
"Aami Bangali",2,3.8
"Aami Bangali Restaurant",2,3.9
"Aami Bangali Restaurant",2,4.4
"Aaminia Biryani",1,3.2
"Aamio Petuk",1,4.0
"Aamis",1,3.1
"Aamrapali Sweets And Fast Food",1,4.2
"Aanand Sweets",1,4.0
"Aananda Multi-Cuisine Pure Veg Restaurant",1,3.9
"Aangan",2,3.3
"Aangan",2,4.0
"Aangan Cafe",1,4.0
"Aangan Restaurant & Bar",1,4.3
"Aao G Khao G",1,3.6
"Aao Ji Haryana Dhaba",1,4.3
"Aao Sa Pavitra Bhojnalaya",1,3.9
"Aaojee Khaojee",1,3.6
"Aap Ki Chai",1,3.8
"Aap Ki Khaatir",1,3.9
"Aapka Apna Pizza",1,3.8
"Aapka Apna Restaurant",1,4.0
"Aapki Apni Rasoi",1,3.8
"Aapki Rasoi",1,4.1
"Aapno Pizza",1,3.5
"Aapno Rajasthan",1,4.3
"Aar Kay Vaishno Dhaba",1,4.4
"Aaradhana Restaurant",1,3.2
"Aaradhya Dhaba",1,3.1
"Aaradhya Sweets",1,3.6
"Aarian Atithya",1,3.8
"Aarna's Restaurant",1,3.9
"Aarnav -Pure Veg Family Restaurant",1,3.7
"Aarohi Food",1,2.8
"Aarti Bhojanalya",1,3.7
"Aaru Food Junction",1,4.0
"Aarush Kitchen's",1,3.6
"Aarvam Regale & Cafe",1,4.3
"Aarya's Kitchen",1,3.4
"Aarya's Spicy Food",1,4.3
"Aashapura Dabeli",1,4.5
"Aashirwaad Veg Family Restaurant",1,4.1
"Aashirwad Kitchen",1,3.9
"Aashirwad Restaurant",2,3.9
"Aashirwad Restaurant",2,4.1
"Aashirwad Restaurant & Dining Hall",1,3.5
"Aasife & Brothers Biryani Center",1,4.0
"Aasife Biriyani",5,3.7
"Aasife Biriyani",5,4.0
"Aasife Biriyani",5,4.0
"Aasife Biriyani",5,4.1
"Aasife Biriyani",5,4.2
"Aasife Biryani",1,3.7
"Aasing's Kitchen",1,4.4
"Aasman",1,4.2
"Aasra Cafe Star",1,3.9
"Aastha Bengali Mess",1,4.1
"Aaswad",1,4.2
"Aaswad Family Restaurant",2,3.3
"Aaswad Family Restaurant",2,3.6
"Aaswad Lunch & Dinner",1,4.1
"Aatha Kadai",1,3.9
"Aathale's",1,4.3
"Aathira's Kitchen",1,4.2
"Aatho Kadai",1,3.3
"Aayan's Kitchen",1,4.1
"Aayushi's Panificio",1,4.1
"Aazad",1,4.1
"Aazebo",1,4.2
"Ab Chai Pe Charcha",1,3.2
"Abar Baithak",1,4.0
"Abar Khabo",1,3.5
"Abar Khaboo",1,4.1
"Abar Khaboo Roll Corner",1,4.1
"ABB - Andrea's Bar & Brasserie",1,4.3
"Abba Da Dhaba",1,3.5
"Abba's Dastarkhwaan",1,4.0
"Abbasi Chicken Crunchy Bites",1,4.1
"Abbott's Cafe N Bistro",1,4.3
"Abcos Food Plaza",1,4.5
"Abdul Moradabadi Chicken Corner",1,3.3
"Abdullah Biryani House",1,3.6
"Abhi Ruchilu",1,3.5
"Abhiayush Food Hub",1,3.9
"Abhiman Pure Veg",1,4.3
"Abhinandan",1,3.9
"Abhinandan Restaurant",1,4.0
"Abhinandan Veg Restaurant",1,4.2
"Abhiruchi Gruh Udyog",1,4.4
"Abhiruchi Swaghruha Foods",1,4.5
"Abhiruchi Veg Parcel Center",1,4.1
"Abhi's Kitchen",1,4.0
"Abhi's Kitchen & Foods",1,4.1
"Abhi's Kitchen Club",1,4.1
"Abhi's Sugran",1,3.8
"Abhishek Bhel Puri",1,4.2
"Abhishek Chinese Corner",1,4.1
"Abhishek Dhaba",1,3.8
"Abhishek Non Veg Restaurant",1,4.3
"Abhishek Sweets",1,3.6
"Abhishek Veg Restaurant",1,4.3
