"restaurant_name","rating","average_price","average_delivery_time","south_indian_or_not","north_indian_or_not","fast_food_or_not","street_food","biryani_or_not","bakery_or_not","location","cnt"
"30 Cordon Bleu",4.3,100,31,0,1,1,0,0,0,"Dehradun",1
"'-301°F! & Urban Waffle",4.0,100,40,0,0,0,0,0,0,"Ranchi",1
"31 Burgers",3.4,150,24,0,0,1,0,0,0,"Lucknow",1
"33 Eat Street",2.9,200,37,0,0,0,0,1,0,"Guwahati",1
"33 Park Street By Junction",4.1,150,27,0,1,0,0,1,0,"Jamshedpur",1
"34 Chowringhee Lane",3.7,100,39,0,0,0,0,0,0,"Bhopal",7
"34 Chowringhee Lane",3.7,150,46,0,0,1,0,0,0,"Delhi NCR",7
"34 Chowringhee Lane",3.7,300,37,0,0,1,0,0,0,"NCR",7
"34 Chowringhee Lane",3.8,100,30,0,0,0,0,0,0,"Chandigarh",7
"34 Chowringhee Lane",3.8,150,37,0,0,0,0,0,0,"Ludhiana",7
"34 Chowringhee Lane",3.9,200,27,0,0,0,0,0,0,"Dehradun",7
"34 Chowringhee Lane",4.2,100,46,0,0,1,0,0,0,"Rishikesh",7
"34 Stairs",4.2,150,29,1,1,0,0,0,0,"Allahabad",1
"34th August",3.5,250,30,0,0,0,0,0,0,"Jalandhar",1
"36 China Town",3.3,250,23,0,0,0,0,0,0,"Amravati",2
"36 China Town",3.7,10,41,0,0,0,0,0,0,"NCR",2
"37 Street Affair",4.1,250,55,0,1,1,0,0,0,"Guwahati",1
"37 The Central",4.3,300,44,0,1,1,0,1,0,"Shimla",1
"38 Street",4.1,100,27,0,0,1,0,0,0,"Chandigarh",1
"3B Tea",3.5,150,29,0,0,0,0,0,0,"Vadodara",1
"3C's Cafe",4.0,100,29,0,0,1,0,0,0,"Agra",1
"3C's Shake Time",4.0,150,30,0,0,0,0,0,0,"Agra",1
"3D FoodZ",4.0,250,23,0,1,1,0,0,0,"Amritsar",1
"3Monkeys",4.0,250,45,0,1,1,0,1,0,"Dehradun",1
"3rd Milestone Restaurant",4.0,150,37,0,1,1,0,0,0,"Meerut",1
"3Seventy Bistro",4.2,200,47,0,0,1,0,0,0,"Surat",1
"3Seventy Kitchen",4.2,150,38,0,1,0,0,0,0,"Surat",1
"3T Foodrinks",4.0,100,37,0,1,1,0,1,0,"Patna",1
"4 Chef - AIIMS",4.3,100,33,0,1,1,0,0,0,"Rishikesh",1
"4 Chef Cafe & Snack Bar",3.5,100,35,1,1,0,1,0,0,"Rishikesh",1
"4 Chili's Kitchen",4.1,300,36,0,1,0,0,1,0,"Hyderabad",1
"4 Mealer",4.1,200,43,0,0,1,0,0,0,"Lucknow",1
"4 Seasons",4.1,350,65,0,1,0,0,1,0,"Hyderabad",1
"4 seasons - The Cafe Restro",4.0,150,42,0,1,0,0,0,0,"Guwahati",1
"4 Seasons Bakery & Restaurant",4.3,200,19,0,1,0,0,1,1,"Visakhapatnam",1
"4 Ways Cafe & Pizza",4.0,200,41,0,0,1,0,0,0,"Chandigarh",1
"40 Indian Thalis(PAU)",3.8,150,34,0,1,0,0,0,0,"Ludhiana",1
"47 South Tangra Road",4.2,100,52,0,0,0,0,0,0,"Kolkata",1
"48 Deg.C",4.3,250,38,0,0,1,0,0,0,"Nagpur",1
"4M Biryani House",3.1,200,26,0,0,0,0,1,0,"Vijayawada",2
"4M Biryani House",4.2,350,49,0,1,0,0,1,0,"Hyderabad",2
"4M Kitchen",3.7,200,43,0,1,0,0,0,0,"Surat",1
"4th Street Dining Hall",4.3,100,46,0,0,0,0,0,0,"Kolkata",1
"5 Flavours Restaurant & Cafe",3.5,200,22,0,1,1,0,0,0,"Ajmer",1
"5 Heads Resto Cafe",3.2,250,29,0,0,1,0,0,1,"Visakhapatnam",1
